result,signal,entry_time,exit_time,entry_price,exit_price,risk_points,reward_points,profit_points,rr,trade_duration,exit_reason,exit_index,sl,tp,lot_size,balance,profit,risk_amount
LOSS,SELL,2026-06-18 00:40:00,2026-06-18 02:25:00,64118.03,64454.75,336.72,673.44,-336.72,2.0,21,SL,223,64454.75,63444.59,0.3,9900.0,-100.0,100.0
WIN,SELL,2026-06-18 06:10:00,2026-06-18 07:05:00,64445.0,64091.64,176.68,353.36,353.36,2.0,11,TP,279,64621.68,64091.64,0.56,10098.0,198.0,99.0
LOSS,SELL,2026-06-18 07:10:00,2026-06-18 10:15:00,63856.0,64092.87,236.87,473.74,-236.87,2.0,37,SL,317,64092.87,63382.26,0.43,9997.02,-100.98,100.98
WIN,SELL,2026-06-18 12:35:00,2026-06-18 14:20:00,64212.0,63831.18,190.41,380.82,380.82,2.0,21,TP,366,64402.41,63831.18,0.53,10196.96,199.94,99.97
LOSS,SELL,2026-06-18 14:35:00,2026-06-18 15:25:00,63905.0,64117.96,212.96,425.93,-212.96,2.0,10,SL,379,64117.96,63479.07,0.48,10094.99,-101.97,101.97
LOSS,SELL,2026-06-18 16:40:00,2026-06-18 16:50:00,63793.5,64032.02,238.52,477.05,-238.52,2.0,2,SL,396,64032.02,63316.45,0.42,9994.04,-100.95,100.95
WIN,SELL,2026-06-18 16:55:00,2026-06-18 18:15:00,63895.5,63315.28,290.11,580.22,580.22,2.0,16,TP,413,64185.61,63315.28,0.34,10193.92,199.88,99.94
WIN,SELL,2026-06-18 18:20:00,2026-06-18 18:55:00,63253.0,62370.62,441.19,882.38,882.38,2.0,7,TP,421,63694.19,62370.62,0.23,10397.8,203.88,101.94
LOSS,SELL,2026-06-18 19:00:00,2026-06-18 23:00:00,62473.5,62969.15,495.65,991.3,-495.65,2.0,48,SL,470,62969.15,61482.2,0.21,10293.82,-103.98,103.98
LOSS,SELL,2026-06-19 00:50:00,2026-06-19 04:15:00,62814.0,63018.31,204.31,408.63,-204.31,2.0,41,SL,532,63018.31,62405.37,0.5,10190.88,-102.94,102.94
LOSS,SELL,2026-06-19 04:35:00,2026-06-19 05:00:00,62798.0,62981.34,183.34,366.67,-183.34,2.0,5,SL,541,62981.34,62431.33,0.56,10088.98,-101.91,101.91
WIN,SELL,2026-06-19 06:05:00,2026-06-19 06:15:00,62832.73,62499.5,166.62,333.23,333.23,2.0,2,TP,556,62999.35,62499.5,0.61,10290.75,201.78,100.89
LOSS,SELL,2026-06-19 06:30:00,2026-06-19 16:40:00,62659.0,62911.56,252.56,505.12,-252.56,2.0,122,SL,681,62911.56,62153.88,0.41,10187.85,-102.91,102.91
